stamp,id,x,y,z,intensity,time,ring
1782434556.015004,1,-0.800575,-1.036706,0.065931,187.000000,0.000000,0
1782434556.015004,1,-0.781051,-1.015157,0.099017,212.000000,0.000023,0
1782434556.015004,1,-0.760516,-0.992093,0.130532,223.000000,0.000046,0
1782434556.015004,1,-0.745617,-0.976300,0.161421,222.000000,0.000069,0
1782434556.015004,1,-0.730328,-0.959858,0.191239,224.000000,0.000093,0
1782434556.015004,1,-0.725949,-0.957839,0.222757,229.000000,0.000116,0
1782434556.015004,1,-0.721084,-0.955149,0.254154,235.000000,0.000139,0
1782434556.015004,1,-0.715740,-0.951789,0.285406,235.000000,0.000162,0
1782434556.015004,1,-0.709922,-0.947758,0.316493,224.000000,0.000185,0
1782434556.015004,1,-0.720303,-0.965663,0.354624,203.000000,0.000208,0
1782434556.015004,1,-1.216001,-1.644495,0.628484,168.000000,0.000231,0
1782434556.015004,1,-1.214087,-1.648565,0.687509,182.000000,0.000255,0
1782434556.015004,1,-1.348720,-1.840103,0.827194,57.000000,0.000278,0
1782434556.015004,1,-2.335846,-3.208184,1.523134,188.000000,0.000301,0
1782434556.015004,1,-1.222813,-1.681041,0.881632,94.000000,0.000324,0
1782434556.015004,1,-1.999969,-2.768033,1.524753,178.000000,0.000347,0
1782434556.015004,1,-1.860860,-2.585480,1.525518,182.000000,0.000370,0
1782434556.015004,1,-1.738946,-2.425525,1.528256,177.000000,0.000394,0
1782434556.015004,1,-1.604052,-2.245985,1.507955,187.000000,0.000417,0
1782434556.015004,1,-1.261450,-1.771397,1.271572,177.000000,0.000440,0
1782434556.015004,1,-1.238928,-1.747085,1.328070,184.000000,0.000463,0
1782434556.015004,1,-1.206429,-1.708379,1.373498,220.000000,0.000486,0
1782434556.015004,1,-1.232455,-1.753179,1.486396,175.000000,0.000509,0
1782434556.015004,1,-1.206836,-1.724152,1.541992,193.000000,0.000532,0
1782434556.015004,1,-1.150004,-1.649831,1.556304,188.000000,0.000556,0
1782434556.015004,1,-1.085867,-1.564294,1.555587,194.000000,0.000579,0
1782434556.015004,1,-1.026790,-1.485416,1.556126,198.000000,0.000602,0
1782434556.015004,1,-0.976791,-1.419171,1.565151,200.000000,0.000625,0
1782434556.015004,1,-0.923374,-1.347346,1.564086,193.000000,0.000648,0
1782434556.015004,1,-0.878946,-1.288206,1.573413,195.000000,0.000671,0
1782434556.015004,1,-0.831223,-1.223678,1.572751,194.000000,0.000694,0
1782434556.015004,1,-0.784379,-1.159912,1.568966,194.000000,0.000718,0
1782434556.015004,1,-0.745389,-1.107390,1.576442,193.000000,0.000741,0
1782434556.015004,1,-0.703403,-1.049905,1.573853,189.000000,0.000764,0
1782434556.015004,1,-0.665622,-0.998307,1.576488,176.000000,0.000787,0
1782434556.015004,1,-0.625507,-0.942706,1.569619,179.000000,0.000810,0
1782434556.015004,1,-0.591915,-0.896625,1.574971,181.000000,0.000833,0
1782434556.015004,1,-0.559071,-0.851313,1.579235,187.000000,0.000856,0
1782434556.015004,1,-0.526395,-0.805874,1.580789,193.000000,0.000880,0
1782434556.015004,1,-0.494504,-0.761273,1.581346,194.000000,0.000903,0
1782434556.015004,1,-0.462869,-0.716682,1.579230,194.000000,0.000926,0
1782434556.015004,1,-0.434273,-0.676517,1.584188,191.000000,0.000949,0
1782434556.015004,1,-0.406002,-0.636529,1.587632,192.000000,0.000972,0
1782434556.015004,1,-0.380272,-0.600293,1.598675,197.000000,0.000995,0
1782434556.015004,1,-0.352582,-0.560583,1.599257,204.000000,0.001019,0
1782434556.015004,1,-0.325285,-0.521164,1.598384,202.000000,0.001042,0
1782434556.015004,1,-0.298404,-0.482074,1.596080,198.000000,0.001065,0
1782434556.015004,1,-0.271958,-0.443348,1.592372,186.000000,0.001088,0
1782434556.015004,1,-0.247459,-0.407555,1.596845,183.000000,0.001111,0
1782434556.015004,1,-0.223015,-0.371551,1.599153,182.000000,0.001134,0
1782434556.015004,1,-0.198930,-0.335851,1.601225,186.000000,0.001157,0
1782434556.015004,1,-0.174964,-0.300037,1.601139,186.000000,0.001181,0
1782434556.015004,1,-0.151362,-0.264542,1.600854,185.000000,0.001204,0
1782434556.015004,1,-0.127941,-0.229032,1.598426,190.000000,0.001227,0
1782434556.015004,1,-0.106092,-0.196247,1.614647,193.000000,0.001250,0
1782434556.015004,1,-0.083010,-0.160738,1.609998,198.000000,0.001273,0
1782434556.015004,1,-0.060298,-0.125569,1.605211,200.000000,0.001296,0
1782434556.015004,1,-0.038093,-0.091182,1.608296,200.000000,0.001319,0
1782434556.015004,1,-0.016029,-0.057010,1.619302,196.000000,0.001343,0
1782434556.015004,1,0.006057,-0.022040,1.611248,198.000000,0.001366,0
1782434556.015004,1,0.028164,0.012722,1.620112,203.000000,0.001389,0
1782434556.015004,1,0.050076,0.047689,1.618897,205.000000,0.001412,0
1782434556.015004,1,0.071403,0.082240,1.607625,209.000000,0.001435,0
1782434556.015004,1,0.094085,0.118432,1.623186,208.000000,0.001458,0
1782434556.015004,1,0.115659,0.153655,1.618711,207.000000,0.001481,0
1782434556.015004,1,0.137045,0.188840,1.613158,207.000000,0.001505,0
1782434556.015004,1,0.159157,0.225213,1.615393,210.000000,0.001528,0
1782434556.015004,1,0.182456,0.263509,1.626271,216.000000,0.001551,0
1782434556.015004,1,0.206018,0.302528,1.635868,216.000000,0.001574,0
1782434556.015004,1,0.228540,0.340397,1.635436,219.000000,0.001597,0
1782434556.015004,1,0.250895,0.378309,1.632822,220.000000,0.001620,0
1782434556.015004,1,0.273362,0.416670,1.629944,236.000000,0.001644,0
1782434556.015004,1,0.264773,0.408763,1.463151,178.000000,0.001667,0
